postcode,0p,25p,50p,75p,100p,count
0,410000.0,410000.0,410000.0,410000.0,410000.0,1
2000,3100.0,410000.0,585200.0,846300.0,15100000.0,1537
2001,582000.0,617750.0,653500.0,689250.0,725000.0,2
2007,48000.0,295875.0,378000.0,472250.0,1700000.0,248
2008,50000.0,300000.0,405000.0,545000.0,1410000.0,161
2009,2100.0,400000.0,545000.0,965000.0,11900000.0,678
2010,20000.0,335000.0,485000.0,665000.0,10000000.0,958
2011,20000.0,310750.0,538000.0,820000.0,14000000.0,880
2015,7000.0,330000.0,420000.0,520000.0,8075000.0,503
2016,127500.0,362500.0,430000.0,580000.0,2050000.0,309
2017,9100.0,390000.0,480000.0,540000.0,2050000.0,675
2018,166000.0,292250.0,388500.0,545000.0,1085000.0,228
2019,70000.0,442500.0,499200.0,580000.0,8175000.0,190
2020,100000.0,390000.0,475000.0,540000.0,7600000.0,388
2021,53000.0,417750.0,783500.0,1217750.0,7750000.0,518
2022,43000.0,459500.0,633750.0,870000.0,44750000.0,396
2023,124560.0,525000.0,950000.0,2005000.0,11000000.0,269
2024,120000.0,439250.0,586125.0,1167500.0,7000000.0,236
2025,40000.0,556000.0,886000.0,1692500.0,7000000.0,227
2026,6900.0,425000.0,574000.0,899500.0,9000000.0,802
2027,2027.0,610000.0,980000.0,2550000.0,24000000.0,309
2028,31000.0,530000.0,953000.0,2029000.0,9750000.0,154
2029,150000.0,515000.0,789000.0,1700000.0,14200000.0,313
2030,295000.0,603750.0,1305000.0,2538750.0,22300000.0,292
2031,7500.0,413500.0,530000.0,900000.0,7000000.0,847
2032,175000.0,400000.0,580000.0,855000.0,2560000.0,229
2033,180000.0,385625.0,466000.0,847500.0,2800000.0,258
2034,15000.0,430000.0,575000.0,1000000.0,7500000.0,445
2035,4500.0,395000.0,535000.0,756000.0,3900000.0,661
2036,70000.0,370000.0,577500.0,740000.0,4875000.0,346
2037,6000.0,425000.0,582000.0,828125.0,14800000.0,406
2038,5000.0,385000.0,536000.0,685000.0,1900000.0,321
2039,7250.0,500000.0,666000.0,837400.0,3360000.0,279
2040,12500.0,445250.0,580000.0,694500.0,4650000.0,558
2041,15000.0,561000.0,760000.0,1100000.0,7650000.0,389
2042,15000.0,370000.0,490000.0,585000.0,1200000.0,492
2043,200000.0,379750.0,467500.0,540000.0,1100000.0,252
2044,4100.0,400000.0,474500.0,540000.0,690000.0,199
2045,170000.0,666500.0,920000.0,1217500.0,1750000.0,83
2046,41000.0,438125.0,535500.0,750000.0,4100000.0,582
2047,720.0,480000.0,662000.0,852500.0,4620000.0,311
2048,37000.0,357000.0,560000.0,698000.0,5290000.0,201
2049,6330.0,350000.0,500000.0,628500.0,2500000.0,240
2050,162000.0,400000.0,445000.0,580000.0,4200000.0,306
2057,328550.0,328550.0,328550.0,328550.0,328550.0,3
2060,19000.0,440000.0,573000.0,1062500.0,6500000.0,515
2061,95000.0,475000.0,699000.0,1038000.0,6000000.0,195
2062,1200.0,432500.0,630000.0,947000.0,6000000.0,215
2063,110000.0,631250.0,1115000.0,1661250.0,6500000.0,130
2064,133000.0,395625.0,460000.0,571250.0,2575000.0,270
2065,25000.0,412250.0,525000.0,748000.0,4300000.0,903
2066,29700.0,377000.0,544500.0,938750.0,6400000.0,674
2067,7000.0,407750.0,526000.0,810000.0,1820000.0,591
2068,66780.0,630000.0,910000.0,1210000.0,8000000.0,357
2069,39750.0,610000.0,995000.0,1385000.0,5750000.0,205
2070,120000.0,797500.0,1100000.0,1425000.0,3800000.0,311
2071,195000.0,747397.0,1000000.0,1505000.0,5000000.0,232
2072,6900.0,702500.0,1046000.0,1447250.0,4438000.0,110
2073,150000.0,695000.0,835000.0,1125000.0,5000000.0,253
2074,180000.0,652750.0,780000.0,1072500.0,4500000.0,371
2075,25000.0,747500.0,870000.0,1150000.0,7500000.0,327
2076,20000.0,540000.0,707500.0,900000.0,7400000.0,448
2077,5200.0,330000.0,418500.0,496750.0,32500000.0,978
2079,160000.0,460000.0,501000.0,550000.0,785000.0,109
2080,210000.0,393250.0,460000.0,568500.0,640000.0,30
2081,240000.0,445000.0,499000.0,568800.0,770000.0,85
2082,150000.0,440000.0,485000.0,538750.0,1155000.0,99
2083,6000.0,402500.0,490000.0,647750.0,1200000.0,44
2084,145000.0,710000.0,782500.0,1702625.0,6800000.0,58
2085,12500.0,556750.0,712000.0,815500.0,2175000.0,243
2086,58500.0,650000.0,705000.0,825000.0,7425000.0,197
2087,7000.0,472000.0,630000.0,758000.0,4288000.0,295
2088,3900.0,478500.0,975000.0,2000000.0,15000000.0,930
2089,8500.0,423750.0,580625.0,840000.0,9400000.0,320
2090,60000.0,455000.0,610000.0,966000.0,7900000.0,465
2092,1875.0,735500.0,1050000.0,1571500.0,15751000.0,151
2093,6500.0,380000.0,650000.0,962500.0,6700000.0,583
2094,225000.0,524000.0,740000.0,1061250.0,3400000.0,180
2095,3200.0,463000.0,647500.0,1001250.0,4600000.0,532
2096,447.0,386750.0,499500.0,871250.0,2737500.0,484
2097,60000.0,450635.0,687000.0,865000.0,4205000.0,307
2098,98088.0,98088.0,98088.0,98088.0,98088.0,1
2099,100.0,345000.0,460000.0,650000.0,4000000.0,1033
2100,7000.0,420000.0,630000.0,761750.0,2975000.0,393
2101,6000.0,456000.0,625000.0,775000.0,4250000.0,355
2102,75000.0,523647.5,649000.0,779000.0,2000000.0,220
2103,65000.0,479750.0,749000.0,941250.0,15000000.0,280
2104,175000.0,862500.0,1200000.0,1715000.0,6500000.0,59
2105,390000.0,770000.0,1050000.0,1300000.0,5175000.0,45
2106,100000.0,512500.0,780000.0,1007500.0,4200000.0,211
2107,10000.0,700000.0,880000.0,1265000.0,13475000.0,341
2108,243000.0,1237500.0,2450000.0,3875000.0,7450000.0,72
2110,1350.0,627500.0,987500.0,1512500.0,7380000.0,166
2111,120000.0,352500.0,620000.0,810000.0,3350000.0,261
2112,6000.0,336625.0,525000.0,650000.0,3300000.0,496
2113,5000.0,372500.0,546000.0,636000.0,6820000.0,249
2114,7500.0,335250.0,473000.0,617875.0,1769000.0,754
2115,5000.0,368000.0,440000.0,515000.0,850000.0,149
2116,187000.0,399000.0,445000.0,519500.0,640000.0,67
2117,4900.0,378000.0,460000.0,535000.0,1725000.0,329
2118,7168.0,409000.0,520000.0,624700.0,4520000.0,350
2119,57000.0,610000.0,730500.0,962500.0,2010000.0,156
2120,100000.0,381000.0,537500.0,610000.0,1550000.0,410
2121,412.0,405000.0,604000.0,720000.0,1900001.0,432
2122,6000.0,364250.0,507500.0,638000.0,2900000.0,582
2125,66000.0,520000.0,640000.0,900000.0,3200000.0,217
2126,60000.0,490000.0,584000.0,660000.0,3820000.0,312
2127,25000.0,430750.0,528000.0,627000.0,1570000.0,608
2128,145800.0,351000.0,382500.0,468750.0,6350000.0,62
2130,23386.0,302250.0,367500.0,596875.0,1475000.0,132
2131,7000.0,300000.0,372000.0,472500.0,2380000.0,435
2132,135000.0,411625.0,539500.0,660000.0,1325000.0,150
2133,75000.0,341500.0,514000.0,587500.0,910000.0,151
2134,130000.0,371000.0,460000.0,610000.0,11500000.0,286
2135,8800.0,400000.0,550000.0,960125.0,3150000.0,404
2136,150000.0,340250.0,445000.0,618250.0,3200000.0,158
2137,20000.0,515875.0,660000.0,864500.0,3850000.0,482
2138,27000.0,478000.0,522500.0,615000.0,2005000.0,836
2140,35500.0,311750.0,350000.0,400000.0,2650000.0,420
2141,30000.0,300000.0,355000.0,450000.0,3990000.0,485
2142,3850.0,275000.0,330000.0,382750.0,1800000.0,398
2143,100000.0,320000.0,360000.0,407000.0,960000.0,131
2144,1800.0,249250.0,342000.0,415000.0,4301000.0,552
2145,2900.0,295500.0,355000.0,417874.25,4050000.0,1146
2146,3900.0,290000.0,352500.0,400000.0,37242136.0,289
2147,2250.0,300000.0,350000.0,416875.0,13420000.0,506
2148,100.0,271250.0,315000.0,359712.5,2130000.0,1014
2150,20000.0,241250.0,310000.0,385000.0,2200000.0,694
2151,18550.0,290000.0,406500.0,502500.0,1450000.0,320
2152,3500.0,325000.0,365000.0,450000.0,2020000.0,237
2153,4800.0,411500.0,470000.0,530500.0,3400000.0,944
2154,6027.0,440000.0,540000.0,665000.0,11000000.0,733
2155,4000.0,455000.0,516500.0,596500.0,9000000.0,807
2156,75000.0,575000.0,800750.0,1095000.0,19250000.0,182
2157,210000.0,709750.0,920000.0,1121250.0,1500000.0,38
2158,145000.0,515000.0,700000.0,1400000.0,3200000.0,133
2159,298500.0,487750.0,571000.0,1207500.0,2410000.0,66
2160,8200.0,268000.0,345000.0,418000.0,2799860.0,493
2161,16700.0,295000.0,338500.0,390000.0,2040500.0,397
2162,4000.0,338000.0,375000.0,420000.0,600000.0,189
2163,70000.0,189000.0,310000.0,370000.0,16900000.0,109
2164,2800.0,307000.0,342000.0,390000.0,1550000.0,257
2165,3900.0,270000.0,325000.0,365000.0,1740000.0,605
2166,6306.0,185000.0,295000.0,355000.0,1790000.0,742
2167,10000.0,233000.0,315000.0,371000.0,535000.0,95
2168,7000.0,255000.0,316250.0,380000.0,850000.0,540
2170,3000.0,275000.0,351500.0,420000.0,3308000.0,1528
2171,20000.0,367500.0,416500.0,499999.25,5050000.0,408
2172,440000.0,579375.0,717500.0,774375.0,1000000.0,18
2173,4400.0,363500.0,383000.0,400000.0,715000.0,286
2174,2430000.0,2522500.0,2615000.0,2707500.0,2800000.0,2
2175,700000.0,865000.0,1035000.0,1292500.0,9164700.0,13
2176,3800.0,331250.0,382500.0,454250.0,11216000.0,434
2177,22500.0,315000.0,355000.0,420000.0,690000.0,129
2178,110000.0,750000.0,1000000.0,1235000.0,3050000.0,17
2179,287500.0,550000.0,940000.0,1200000.0,1600000.0,25
2190,6600.0,337875.0,400000.0,465000.0,1205000.0,356
2191,250000.0,385000.0,445000.0,550000.0,4275000.0,93
2192,108000.0,237750.0,390000.0,493750.0,1168000.0,202
2193,47000.0,341000.0,480000.0,590000.0,1175000.0,187
2194,8000.0,225000.0,290000.0,417500.0,2050000.0,377
2195,2200.0,165000.0,205000.0,320000.0,2000000.0,394
2196,30000.0,230000.0,367500.0,435750.0,850000.0,434
2197,82500.0,368500.0,390000.0,420000.0,870000.0,115
2198,65000.0,375750.0,435000.0,475068.75,3000000.0,108
2199,11600.0,296500.0,364000.0,410000.0,1080000.0,212
2200,3525.0,250000.0,320000.0,425000.0,4150000.0,629
2203,8500.0,290000.0,375000.0,530000.0,1580000.0,290
2204,3600.0,310000.0,440000.0,540000.0,3850000.0,547
2205,7500.0,360000.0,419000.0,531000.0,2050000.0,433
2206,6000.0,380000.0,510000.0,625000.0,1275000.0,231
2207,5700.0,340000.0,435000.0,544325.0,3330000.0,466
2208,70000.0,450812.5,537500.0,620000.0,1080000.0,138
2209,100.0,357625.0,431500.0,518750.0,1025000.0,242
2210,7000.0,388150.0,475000.0,592500.0,2300000.0,407
2211,7500.0,375000.0,438750.0,500000.0,1625000.0,256
2212,4950.0,369250.0,430000.0,469250.0,1260000.0,259
2213,4100.0,405000.0,455000.0,510000.0,944000.0,336
2214,200000.0,395000.0,415000.0,460000.0,3000000.0,53
2216,4800.0,315000.0,395000.0,500000.0,2360000.0,591
2217,65000.0,290000.0,382500.0,560000.0,5250000.0,524
2218,21000.0,305000.0,369000.0,477500.0,1610000.0,287
2219,10000.0,336000.0,430000.0,650000.0,3600000.0,313
2220,16000.0,328000.0,410000.0,550000.0,2488888.0,631
2221,105000.0,426500.0,605000.0,821112.5,3450000.0,287
2222,61750.0,250000.0,313000.0,486875.0,1600000.0,300
2223,7500.0,330000.0,475000.0,635500.0,2100000.0,467
2224,43200.0,528500.0,660000.0,918750.0,3400000.0,254
2225,3000.0,494250.0,582600.0,705250.0,2600000.0,92
2226,7850.0,428000.0,490000.0,577500.0,1910000.0,209
2227,40000.0,409500.0,511000.0,635250.0,2200000.0,312
2228,3500.0,355000.0,450000.0,569000.0,12111704.0,423
2229,5000.0,375000.0,575000.0,751250.0,13010000.0,576
2230,5000.0,340000.0,470000.0,768000.0,9200000.0,819
2231,25000.0,432750.0,462000.0,526750.0,1485000.0,35
2232,2400.0,315000.0,397000.0,549000.0,2616166.0,685
2233,3100.0,430500.0,475000.0,520000.0,900000.0,439
2234,45000.0,450000.0,550000.0,660500.0,1625000.0,404
2250,10000.0,276000.0,335000.0,420000.0,10800000.0,1355
2251,2400.0,350000.0,435000.0,572500.0,92600000.0,641
2256,200.0,282500.0,350000.0,478500.0,4500000.0,359
2257,15500.0,317525.0,370000.0,480000.0,3200000.0,724
2258,7600.0,266875.0,336500.0,457750.0,1180000.0,104
2259,132.0,250000.0,320000.0,395000.0,6450000.0,1076
2260,1400.0,418000.0,520000.0,701250.0,4550000.0,544
2261,1790.0,288000.0,350000.0,455000.0,3700000.0,1171
2262,2450.0,231250.0,272500.0,329000.0,985000.0,447
2263,5000.0,230000.0,265000.0,310000.0,1350000.0,553
2264,10000.0,250950.0,315000.0,464250.0,115000000.0,291
2265,158465.0,248750.0,326500.0,500000.0,3800000.0,92
2267,103750.0,260000.0,330000.0,445000.0,900000.0,43
2278,70000.0,217250.0,271000.0,332500.0,485000.0,59
2280,4300.0,290500.0,350000.0,456500.0,2150000.0,471
2281,172500.0,302500.0,362500.0,474500.0,890000.0,203
2282,35500.0,319000.0,389950.0,467000.0,5800000.0,311
2283,10500.0,258000.0,318500.0,422500.0,2800000.0,429
2284,3800.0,243000.0,300000.0,375000.0,900000.0,213
2285,13000.0,239637.5,280000.0,330000.0,2600000.0,552
2286,100000.0,216250.0,256000.0,272125.0,450000.0,46
2287,13250.0,250000.0,290000.0,350000.0,1830000.0,614
2289,7200.0,280000.0,350000.0,420000.0,765000.0,397
2290,3505.0,266000.0,320000.0,405500.0,2246667.0,588
2291,2000.0,340000.0,476000.0,645000.0,1746000.0,301
2292,80000.0,241950.0,285000.0,326987.5,830000.0,54
2293,32500.0,275000.0,390000.0,545000.0,990000.0,144
2294,75000.0,243750.0,283375.0,338125.0,440000.0,72
2295,145000.0,277500.0,335000.0,404500.0,2000000.0,122
2296,25000.0,237000.0,309000.0,371000.0,496000.0,103
2297,140000.0,233750.0,272500.0,330500.0,5400000.0,56
2298,6830.0,230000.0,274975.0,335000.0,595000.0,198
2299,15200.0,253000.0,285000.0,340000.0,852000.0,201
2300,30000.0,340000.0,468000.0,753011.0,14500000.0,529
2302,155000.0,291000.0,350000.0,423500.0,2060000.0,27
2303,135000.0,308500.0,385750.0,538750.0,1210000.0,222
2304,15000.0,233750.0,264500.0,310000.0,1900000.0,416
2305,60000.0,292500.0,345000.0,445125.0,2700000.0,252
2306,5630.0,155000.0,185000.0,218831.25,270000.0,26
2307,172000.0,228000.0,245250.0,269750.0,745000.0,67
2311,65000.0,308500.0,523500.0,792500.0,1950000.0,14
2312,210000.0,258750.0,342000.0,540000.0,1725000.0,19
2315,90000.0,360000.0,435000.0,535000.0,2200000.0,568
2316,159500.0,347250.0,404500.0,575000.0,2800000.0,140
2317,45000.0,300000.0,405000.0,600000.0,2650000.0,184
2318,39270.0,265000.0,333000.0,385000.0,795000.0,277
2319,80000.0,240000.0,282000.0,339000.0,630000.0,99
2320,1000.0,209312.5,280000.0,371000.0,2850000.0,722
2321,35000.0,225500.0,305000.0,416500.0,25750000.0,194
2322,10000.0,210000.0,250000.0,359975.0,4150000.0,395
2323,40000.0,235000.0,272000.0,328125.0,3050000.0,482
2324,9000.0,196000.0,265000.0,407500.0,8800000.0,519
2325,53334.0,171500.0,217000.0,280000.0,2450000.0,612
2326,800.0,155750.0,187250.0,230000.0,1200000.0,112
2327,20000.0,165000.0,200000.0,240000.0,410000.0,153
2328,76000.0,180000.0,228500.0,298750.0,1815000.0,36
2329,7000.0,110000.0,163250.0,342500.0,4788000.0,50
2330,35000.0,246000.0,300000.0,372000.0,5350000.0,486
2333,21000.0,175000.0,228000.0,295000.0,2650000.0,321
2334,80000.0,177375.0,217500.0,251250.0,352000.0,52
2335,43000.0,218000.0,291250.0,396250.0,3400000.0,96
2336,60000.0,163250.0,225000.0,365000.0,2455000.0,44
2337,40000.0,192500.0,267500.0,365000.0,1300000.0,171
2338,70000.0,125000.0,154000.0,190000.0,850000.0,26
2339,50000.0,125000.0,290000.0,688750.0,3430000.0,14
2340,276.0,190000.0,242000.0,318000.0,2200000.0,980
2341,1080.0,80000.0,115000.0,135500.0,1000000.0,43
2342,25000.0,80000.0,142000.0,245000.0,605000.0,5
