suburb,0p,25p,50p,75p,100p,count
ABBOTSBURY,445000.0,1305000.0,1480000.0,1755000.0,2661000.0,33
ABBOTSFORD,425000.0,1188750.0,1754744.5,3072500.0,9100000.0,98
ABERCROMBIE,470000.0,631000.0,675000.0,785000.0,1100000.0,17
ABERDARE,70000.0,442500.0,540000.0,600000.0,905000.0,43
ABERDEEN,2674.0,327500.0,435000.0,566875.0,1250000.0,38
ABERGLASSLYN,370000.0,593862.5,710000.0,815250.0,2200000.0,132
ABERMAIN,220000.0,450000.0,555000.0,670000.0,1770000.0,57
ABERNETHY,550000.0,550000.0,550000.0,550000.0,550000.0,1
ACACIA CREEK,330000.0,435000.0,540000.0,645000.0,750000.0,2
ACACIA GARDENS,799990.0,1000000.0,1140000.0,1390000.0,11740000.0,69
ADAMINABY,270000.0,360000.0,425000.0,470000.0,900000.0,9
ADAMSTOWN,146000.0,692500.0,860000.0,1002500.0,5250000.0,131
ADAMSTOWN HEIGHTS,387500.0,880000.0,975000.0,1220000.0,1755000.0,101
ADELONG,145000.0,308000.0,400000.0,460000.0,850000.0,25
AFTERLEE,1940000.0,1940000.0,1940000.0,1940000.0,1940000.0,3
AGNES BANKS,406000.0,887500.0,1595000.0,2412500.0,4500000.0,8
AIRDS,360000.0,460000.0,595000.0,676000.0,1100000.0,101
AKOLELE,478000.0,569125.0,660250.0,751375.0,842500.0,2
ALBERT,2460000.0,2460000.0,2460000.0,2460000.0,2460000.0,1
ALBION PARK,128000.0,700000.0,780000.0,897500.0,2700000.0,302
ALBION PARK RAIL,100000.0,660000.0,720000.0,799999.25,7350000.0,120
ALBURY,180000.0,595000.0,800000.0,1010000.0,2500000.0,103
ALDAVILLA,700000.0,712500.0,735000.0,820000.0,1000000.0,7
ALECTOWN,220000.0,220000.0,220000.0,220000.0,220000.0,1
ALEXANDRIA,600.0,705000.0,930000.0,1262000.0,5850000.0,321
ALFORDS POINT,90000.0,1431000.0,1600000.0,1800000.0,4012000.0,13
ALFREDTOWN,1520000.0,1520000.0,1520000.0,1520000.0,1520000.0,1
ALISON,959531.0,1054765.5,1150000.0,1295000.0,1440000.0,3
ALLAMBIE HEIGHTS,580000.0,1977500.0,2310000.0,2755400.0,3955000.0,63
ALLANDALE,1725000.0,1725000.0,1725000.0,1725000.0,1725000.0,1
ALLAWAH,480000.0,660000.0,741000.0,846250.0,2200000.0,86
ALLYNBROOK,750000.0,765000.0,780000.0,795000.0,810000.0,2
ALPINE,4647984.0,4647984.0,4647984.0,4647984.0,4647984.0,1
ALSTONVALE,1320000.0,1321875.0,1516250.0,1801250.0,2075000.0,4
ALSTONVILLE,210000.0,605000.0,812500.0,946250.0,3000000.0,112
ALUMY CREEK,750000.0,912500.0,1075000.0,1237500.0,1400000.0,2
AMBARVALE,110000.0,605875.0,740750.0,795000.0,958000.0,82
ANAMBAH,190000.0,197500.0,235000.0,257500.0,1750000.0,15
ANDO,345000.0,355000.0,365000.0,375000.0,385000.0,2
ANGLEDOOL,70000.0,70000.0,70000.0,70000.0,70000.0,1
ANGLERS REACH,230000.0,335000.0,500000.0,558500.0,670000.0,7
ANGOURIE,715000.0,973750.0,1232500.0,1491250.0,1750000.0,2
ANGUS,500000.0,625000.0,715000.0,737500.0,8000000.0,6
ANNA BAY,482866.0,756250.0,885000.0,993750.0,3900000.0,54
ANNANDALE,10385.0,1300000.0,1715500.0,2305500.0,18980500.0,164
ANNANGROVE,500000.0,3431250.0,3880000.0,5050000.0,8200000.0,12
APPIN,100000.0,905000.0,970000.0,1022500.0,1429720.0,35
APSLEY,580000.0,580000.0,580000.0,580000.0,580000.0,1
ARAKOON,890000.0,995000.0,1495000.0,1600000.0,1625000.0,5
ARALUEN,100000.0,160000.0,202500.0,366250.0,790000.0,4
ARCADIA,509212.0,2322500.0,2900000.0,3130000.0,5550000.0,15
ARCADIA VALE,190000.0,652500.0,729500.0,985000.0,2850000.0,30
ARDGLEN,55000.0,341250.0,627500.0,913750.0,1200000.0,2
ARDLETHAN,85000.0,90000.0,110000.0,170000.0,265000.0,5
ARGENTON,363000.0,548750.0,615000.0,723750.0,1300000.0,20
ARGENTS HILL,50000.0,72500.0,375000.0,852500.0,1400000.0,4
ARIAH PARK,20000.0,145000.0,180000.0,292500.0,490000.0,12
ARMATREE,30000.0,766250.0,1502500.0,2238750.0,2975000.0,2
ARMIDALE,22000.0,349500.0,470500.0,600000.0,1625000.0,555
ARNCLIFFE,22750.0,645012.5,750000.0,1049500.0,3600000.0,310
ARNDELL PARK,1570000.0,1570000.0,1570000.0,1570000.0,1570000.0,2
ARRAWARRA,775000.0,817500.0,860000.0,902500.0,945000.0,2
ARRAWARRA HEADLAND,1190000.0,1515000.0,2226000.0,2512500.0,2900000.0,8
ARTARMON,45000.0,915000.0,1092750.0,1842500.0,5500000.0,156
ARTHURVILLE,3020000.0,3020000.0,3020000.0,3020000.0,3020000.0,1
ASHBURY,1250000.0,1777000.0,2000000.0,2466250.0,2887500.0,23
ASHBY,660000.0,850000.0,1050000.0,1250000.0,2785000.0,9
ASHBY HEIGHTS,549000.0,824575.0,890000.0,1773750.0,2075100.0,6
ASHCROFT,605000.0,750000.0,805000.0,850000.0,1232000.0,35
ASHFIELD,100000.0,675000.0,830000.0,1050000.0,4280000.0,537
ASHFORD,80000.0,160000.0,235000.0,290000.0,725000.0,9
ASHLEY,55000.0,120000.0,270000.0,450000.0,690000.0,9
ASHMONT,155000.0,280000.0,350000.0,430000.0,1350000.0,83
ASHTONFIELD,45000.0,667500.0,788000.0,905000.0,1225000.0,67
ASQUITH,200000.0,680000.0,997500.0,1365750.0,2615000.0,210
ATTUNGA,380000.0,416250.0,427500.0,552500.0,1200000.0,10
AUBURN,50000.0,528500.0,638000.0,874499.5,20000000.0,703
AUSTINMER,14000.0,1100000.0,2080000.0,2750000.0,3500000.0,29
AUSTRAL,170000.0,525000.0,617500.0,880000.0,22150000.0,752
AUSTRAL EDEN,900000.0,900000.0,900000.0,900000.0,900000.0,1
AVALON BEACH,185000.0,1781250.0,2440000.0,3272500.0,10500000.0,210
AVOCA BEACH,213000.0,1200000.0,1425000.0,1681250.0,7500000.0,100
AVONDALE,578000.0,702000.0,725000.0,752500.0,9200000.0,24
AVONSIDE,1325000.0,1325000.0,1325000.0,1325000.0,1325000.0,1
AWABA,460000.0,703750.0,820000.0,866250.0,900000.0,4
AYLMERTON,800000.0,858750.0,1460000.0,2136250.0,2210000.0,6
BAAN BAA,175000.0,242500.0,310000.0,355000.0,400000.0,3
BABYL CREEK,650000.0,975000.0,1300000.0,1625000.0,1950000.0,2
BACK CREEK,1425000.0,1425000.0,1425000.0,1425000.0,1425000.0,1
BACK FOREST,2583000.0,2583000.0,2583000.0,2583000.0,2583000.0,1
BACKMEDE,1075000.0,1075000.0,1075000.0,1075000.0,1075000.0,1
BADAGARANG,290000.0,410000.0,450000.0,486250.0,37100000.0,36
BADGERYS CREEK,9374061.0,9437030.5,9500000.0,9562969.5,9625939.0,3
BAERAMI,540000.0,625000.0,710000.0,795000.0,880000.0,2
BAGNOO,1650000.0,1650000.0,1650000.0,1650000.0,1650000.0,1
BAGOTVILLE,710000.0,710000.0,710000.0,710000.0,710000.0,1
BAKERS CREEK,329810.0,329810.0,329810.0,329810.0,329810.0,1
BAKERS SWAMP,9092250.0,9092250.0,9092250.0,9092250.0,9092250.0,2
BALACLAVA,140000.0,812500.0,975000.0,1250000.0,2200000.0,12
BALALA,492000.0,516000.0,540000.0,564000.0,588000.0,2
BALCOLYN,547000.0,698000.0,755000.0,882500.0,1800000.0,24
BALD HILLS,820000.0,1017500.0,1200000.0,1325000.0,1550000.0,8
BALDERSLEIGH,450000.0,450000.0,450000.0,450000.0,450000.0,1
BALGOWLAH,550000.0,1100000.0,1577500.0,2797500.0,7750000.0,174
BALGOWLAH HEIGHTS,1175000.0,3373750.0,4000000.0,4687500.0,8515000.0,46
BALGOWNIE,266666.0,872500.0,1125000.0,1295000.0,2350000.0,91
BALLADORAN,300000.0,500000.0,700000.0,900000.0,1100000.0,2
BALLDALE,125000.0,165000.0,200000.0,260000.0,280000.0,5
BALLENGARRA,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1
BALLIMORE,130000.0,265000.0,400000.0,527500.0,655000.0,3
BALLINA,75000.0,630000.0,740000.0,900000.0,3300000.0,193
BALMAIN,260000.0,1557500.0,2160000.0,2992500.0,15100000.0,211
BALMAIN EAST,620000.0,1225000.0,2451000.0,3587500.0,9200000.0,31
BALMORAL,23836.0,736500.0,970000.0,1047500.0,1661280.0,23
BALRANALD,70000.0,150000.0,220000.0,310000.0,400000.0,23
BANDON GROVE,385000.0,466000.0,496500.0,643750.0,1075000.0,4
BANGALEE,1000000.0,1302500.0,1630000.0,1925000.0,2820000.0,11
BANGALOW,300000.0,1286250.0,1575000.0,1856250.0,2800000.0,36
BANGO,1215000.0,1215000.0,1215000.0,1215000.0,1215000.0,1
BANGOR,420000.0,1033000.0,1325000.0,1495000.0,1826000.0,65
BANKSIA,359640.0,1195000.0,1350000.0,1500000.0,2100000.0,34
BANKSMEADOW,300000.0,443333.0,1125000.0,1500000.0,1700000.0,5
BANKSTOWN,60000.0,465000.0,530000.0,840000.0,5929385.0,541
BANNABY,270000.0,294375.0,318750.0,343125.0,367500.0,2
BANNISTER,910000.0,945000.0,980000.0,1015000.0,1050000.0,2
BANORA POINT,44284.0,682000.0,830000.0,1002500.0,2415000.0,324
BANYABBA,645000.0,645000.0,645000.0,645000.0,645000.0,1
BAR BEACH,430000.0,901250.0,1237500.0,1682500.0,4230000.0,18
BAR POINT,135500.0,168750.0,382500.0,592500.0,850000.0,6
BARADINE,12000.0,108250.0,165000.0,188750.0,432500.0,12
BARANGAROO,3450000.0,5062500.0,10100000.0,17937500.0,25500000.0,8
BARDEN RIDGE,760000.0,1436250.0,1566000.0,1777500.0,2620000.0,44
BARDIA,538000.0,806250.0,900000.0,980000.0,1611000.0,102
BARDWELL PARK,480000.0,1137750.0,1623000.0,2041250.0,2350000.0,22
BARDWELL VALLEY,865000.0,1420000.0,1550000.0,1962500.0,3500000.0,27
BARELLAN,2000.0,151250.0,221250.0,277500.0,338000.0,8
BARGO,200000.0,806250.0,990000.0,1260000.0,2400000.0,67
BARHAM,179000.0,290000.0,421000.0,635000.0,1600000.0,44
BARKERS VALE,790000.0,892500.0,995000.0,1097500.0,1200000.0,2
BARMEDMAN,50000.0,60000.0,125000.0,300000.0,335000.0,5
BARNSLEY,625000.0,694000.0,757910.0,950000.0,3300000.0,18
BAROOGA,265000.0,325000.0,410000.0,697500.0,1600000.0,42
BARRABA,17500.0,155000.0,225000.0,310000.0,950000.0,41
BARRACK HEIGHTS,397500.0,668750.0,782500.0,864250.0,2300000.0,88
BARRACK POINT,1250000.0,1682500.0,2200000.0,2438000.0,6800000.0,11
BARRAGANYATTI,810000.0,810000.0,810000.0,810000.0,810000.0,1
BARRAGGA BAY,480000.0,480000.0,480000.0,480000.0,480000.0,1
BARRENGARRY,3800000.0,3850000.0,3900000.0,3950000.0,4000000.0,2
BARRINGTON,1724.0,591250.0,770000.0,918750.0,1500000.0,8
BARRY,50000.0,212500.0,375000.0,537500.0,700000.0,2
BASIN VIEW,70000.0,689000.0,752000.0,870000.0,1580000.0,25
BASS HILL,20000.0,918750.0,1100000.0,1235375.0,2180000.0,96
BATEAU BAY,93000.0,774000.0,927500.0,1155750.0,2475000.0,208
BATEHAVEN,235000.0,440000.0,567500.0,800000.0,1300000.0,62
BATEMANS BAY,197000.0,507500.0,677500.0,875000.0,6000000.0,58
BATHAMPTON,995000.0,995000.0,995000.0,995000.0,995000.0,1
BATHURST,2200.0,458500.0,579500.0,701250.0,3521000.0,168
BATLOW,10000.0,260000.0,315000.0,411250.0,850000.0,26
BAULKHAM HILLS,180000.0,993750.0,1527500.0,1810000.0,12450000.0,540
BAW BAW,1150000.0,1211250.0,1272500.0,1333750.0,1395000.0,2
BAWLEY POINT,500000.0,1008500.0,1262500.0,1557500.0,2700000.0,19
BAYVIEW,798718.0,2600000.0,3400000.0,4835000.0,11000000.0,49
BEACON HILL,262500.0,1900000.0,2180000.0,2503750.0,6100000.0,82
BEACONSFIELD,520000.0,1050000.0,1460000.0,2150000.0,3550000.0,21
BEAN CREEK,475000.0,475000.0,475000.0,475000.0,475000.0,1
BEAUMONT,1420000.0,2510000.0,3600000.0,5870400.0,8140800.0,3
