postcode,0p,25p,50p,75p,100p,count
2000,25000.0,875000.0,1185000.0,1700000.0,30000000.0,1209
2007,180000.0,312500.0,739998.0,910000.0,1980000.0,127
2008,150000.0,806387.5,1014850.0,1450000.0,12870000.0,484
2009,36000.0,744125.0,1075000.0,1800000.0,9000000.0,244
2010,5000.0,752000.0,1075000.0,1650000.0,10250000.0,721
2011,2400.0,635000.0,1032500.0,1800000.0,20000000.0,680
2015,5000.0,733125.0,877500.0,1355000.0,2600000.0,310
2016,212500.0,877500.0,1175000.0,1482500.0,5900000.0,199
2017,35000.0,750000.0,989000.0,1165000.0,3000000.0,1694
2018,10750.0,746925.0,978687.0,1200000.0,3220000.0,924
2019,135000.0,680000.0,860000.0,1068750.0,2950000.0,634
2020,14900.0,761000.0,970000.0,1140000.0,3218434.0,1222
2021,25000.0,1095000.0,1850000.0,2652500.0,16500000.0,364
2022,15000.0,908750.0,1400000.0,2081250.0,9000000.0,392
2023,325000.0,1050000.0,1772800.0,5036250.0,58000000.0,272
2024,240000.0,1000000.0,1804000.0,3100000.0,11200000.0,206
2025,23500.0,1100250.0,1790000.0,3287500.0,11350000.0,202
2026,160000.0,990000.0,1450000.0,2250000.0,14000000.0,701
2027,330000.0,1477500.0,2352500.0,4287500.0,100000000.0,230
2028,66000.0,1175000.0,1840000.0,3296250.0,18300000.0,122
2029,42000.0,1110000.0,2020000.0,3300000.0,30000000.0,211
2030,200000.0,1543750.0,3100000.0,5170000.0,555000000.0,316
2031,20000.0,918750.0,1500000.0,2488750.0,7750000.0,636
2032,7200.0,785000.0,1267000.0,2050000.0,6520000.0,149
2033,60000.0,803750.0,1111250.0,2300000.0,4917551.0,168
2034,21500.0,925000.0,1392500.0,2100000.0,7500000.0,366
2035,31500.0,787995.0,1100000.0,1785000.0,161640000.0,503
2036,33000.0,829687.5,1056000.0,1399580.0,4600000.0,916
2037,100000.0,823846.75,1250500.0,1496000.0,4400000.0,500
2038,279000.0,821250.0,1447500.0,1875000.0,4275000.0,162
2039,165000.0,1187500.0,1479000.0,1931250.0,4100000.0,204
