postcode,0p,25p,50p,75p,100p,count
2000,438.0,600000.0,850000.0,1280000.0,13000000.0,1209
2007,140000.0,216500.0,555000.0,789000.0,2950000.0,239
2008,5000.0,565000.0,640000.0,958750.0,8475000.0,1018
2009,50000.0,628000.0,860000.0,1407500.0,6925000.0,370
2010,60000.0,565000.0,820000.0,1227500.0,24475000.0,858
2011,5450.0,458000.0,680000.0,1151250.0,12500000.0,983
2015,12000.0,550000.0,662000.0,860000.0,4000000.0,435
2016,200000.0,550000.0,740000.0,950000.0,5700000.0,393
2017,24250.0,590225.0,700000.0,806000.0,25080000.0,1568
2018,250.0,523000.0,690000.0,952500.0,4000000.0,235
2019,7700.0,517750.0,602500.0,780000.0,1825000.0,378
2020,9300.0,600000.0,650000.0,745000.0,17150000.0,674
2021,28125.0,770000.0,1360000.0,1912500.0,5600000.0,451
2022,30000.0,692500.0,1120000.0,1505000.0,5450000.0,331
2023,318000.0,840000.0,1467500.0,3207500.0,20500000.0,306
2024,12000.0,767000.0,1370000.0,2110000.0,10000000.0,249
2025,32500.0,870500.0,1420000.0,2352000.0,14500000.0,247
2026,6400.0,705500.0,937000.0,1580000.0,8525000.0,854
2027,52200.0,855000.0,1200000.0,2637500.0,39000000.0,309
2028,30500.0,981250.0,1456500.0,2485000.0,12600000.0,152
2029,45000.0,767500.0,1255000.0,2150000.0,7380000.0,255
2030,350000.0,892500.0,1900000.0,3412500.0,18000000.0,396
2031,13000.0,650000.0,790000.0,1450000.0,7900000.0,851
2032,125000.0,660250.0,850000.0,1350000.0,8650000.0,242
2033,305000.0,623500.0,769000.0,1340000.0,5600000.0,189
2034,13700.0,715000.0,897500.0,1630000.0,6300000.0,424
2035,9500.0,630000.0,858000.0,1325000.0,11647500.0,658
2036,57500.0,534500.0,670000.0,1072500.0,3600000.0,811
2037,1010.0,625000.0,875000.0,1095000.0,5195000.0,675
2038,50000.0,877750.0,1139500.0,1408750.0,7200000.0,222
2039,50000.0,818750.0,1087500.0,1400000.0,4000000.0,200
2040,14250.0,784500.0,980000.0,1260000.0,5000000.0,488
2041,1000.0,868500.0,1276000.0,1656250.0,4100000.0,367
2042,15600.0,620000.0,880000.0,1105000.0,3625000.0,397
2043,260000.0,652500.0,760000.0,975000.0,5350000.0,269
2044,150000.0,748750.0,859000.0,985000.0,2950000.0,184
2045,212500.0,1000000.0,1415000.0,1843750.0,3000000.0,104
2046,10000.0,692000.0,855000.0,1304375.0,5500000.0,618
2047,249000.0,730000.0,931000.0,1380750.0,5400000.0,282
2048,32000.0,737500.0,1050000.0,1286250.0,3450000.0,174
2049,40000.0,605000.0,830000.0,1100000.0,2870000.0,257
2050,5400.0,585250.0,735000.0,898750.0,2800000.0,386
2060,60000.0,550000.0,760000.0,1060000.0,10300000.0,761
2061,13388.0,680000.0,1045000.0,1810000.0,6700000.0,246
2062,10000.0,675000.0,900000.0,1486000.0,8200000.0,181
2063,315000.0,1175000.0,1880000.0,2612500.0,7800000.0,111
2064,10424.0,668000.0,750000.0,1030000.0,2725000.0,201
2065,60000.0,610000.0,783500.0,1138750.0,5200000.0,1044
2066,2500.0,555000.0,672500.0,1210750.0,6600000.0,1038
2067,9000.0,599900.0,805000.0,962500.0,33000000.0,5660
2068,40000.0,1009000.0,1510000.0,1907000.0,5800000.0,355
2069,135000.0,1200000.0,1680000.0,2142500.0,5200000.0,287
2070,156000.0,862500.0,1515000.0,2050425.0,3950000.0,267
2071,200500.0,813750.0,1302500.0,1900000.0,10000000.0,344
2072,266000.0,625000.0,788000.0,1500000.0,4850000.0,257
2073,8000.0,1026500.0,1410000.0,1785000.0,7700000.0,352
2074,240000.0,764250.0,1127500.0,1487625.0,7850000.0,498
2075,103500.0,745000.0,1110000.0,1422500.0,3550000.0,608
2076,50000.0,817750.0,1047500.0,1438000.0,9210000.0,554
2077,11000.0,525000.0,597500.0,815000.0,5600000.0,1005
2079,275000.0,717750.0,785000.0,853505.5,1200000.0,99
2080,200000.0,636250.0,763150.0,810000.0,970000.0,30
2081,475000.0,659125.0,769000.0,898750.0,1610000.0,66
2082,32000.0,632500.0,725000.0,807750.0,1495000.0,87
2083,60000.0,398750.0,557500.0,740000.0,1510000.0,44
2084,400000.0,953750.0,1375000.0,2977500.0,7500000.0,62
2085,9000.0,732500.0,1061000.0,1243500.0,7500000.0,212
2086,230000.0,937250.0,1060000.0,1207500.0,2130000.0,224
2087,165000.0,956000.0,1185000.0,1400000.0,2185000.0,191
2088,2250.0,680000.0,1150000.0,2400000.0,16300000.0,887
