suburb,0p,25p,50p,75p,100p,count
AARONS PASS,603000.0,603000.0,603000.0,603000.0,603000.0,1
ABBOTSBURY,1100000.0,1411250.0,1540000.0,1934250.0,3315000.0,42
ABBOTSFORD,712500.0,1035000.0,1600000.0,2840000.0,6000000.0,105
ABERCROMBIE,600000.0,750000.0,825000.0,922000.0,1375000.0,21
ABERCROMBIE RIVER,718500.0,718500.0,718500.0,718500.0,718500.0,1
ABERDARE,225000.0,449875.0,550000.0,703750.0,1150000.0,70
ABERDEEN,103000.0,363125.0,445000.0,550000.0,1695300.0,70
ABERGLASSLYN,80000.0,657375.0,738500.0,830000.0,1800000.0,138
ABERMAIN,75000.0,460000.0,555000.0,665000.0,1320000.0,50
ABERNETHY,575000.0,650000.0,747500.0,847500.0,930000.0,4
ABINGTON,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1
ACACIA CREEK,360000.0,360000.0,360000.0,360000.0,360000.0,1
ACACIA GARDENS,637500.0,921250.0,1151000.0,1355000.0,1600300.0,55
ADAMINABY,160000.0,373750.0,460000.0,538750.0,2000000.0,16
ADAMSTOWN,26250.0,549900.0,710000.0,905000.0,1930000.0,219
ADAMSTOWN HEIGHTS,30000.0,860000.0,1010000.0,1213750.0,2055000.0,102
ADELONG,150000.0,242500.0,348500.0,411000.0,845000.0,16
AGNES BANKS,960000.0,1275000.0,1880000.0,2610000.0,3300000.0,7
AIRDS,522000.0,621000.0,675000.0,875250.0,1150000.0,39
AKOLELE,790000.0,790000.0,790000.0,790000.0,790000.0,1
ALBERT,46000.0,47000.0,48000.0,49000.0,50000.0,2
ALBION PARK,9000.0,690000.0,779000.0,900000.0,4900000.0,349
ALBION PARK RAIL,360000.0,685000.0,740000.0,818500.0,2350000.0,132
ALBURY,175261.0,545000.0,735000.0,1100000.0,16800000.0,121
ALDAVILLA,17000.0,476250.0,652500.0,752500.0,900000.0,8
ALECTOWN,335000.0,425000.0,515000.0,605000.0,695000.0,2
ALEXANDRIA,250000.0,734000.0,1014000.0,1450000.0,7250000.0,302
ALFORDS POINT,390000.0,1479000.0,1600000.0,1877527.75,2670000.0,34
ALISON,191500.0,673625.0,1155750.0,1637875.0,2120000.0,2
ALLAMBIE HEIGHTS,499000.0,2000000.0,2352500.0,2750000.0,4305000.0,90
ALLAWAH,110000.0,638750.0,720000.0,801250.0,1800000.0,84
ALLEENA,20000.0,20000.0,20000.0,20000.0,20000.0,1
ALLGOMERA,680000.0,800000.0,910000.0,1067500.0,1300000.0,7
ALLWORTH,310000.0,407500.0,495000.0,712500.0,1200000.0,4
ALPINE,3205000.0,3205000.0,3205000.0,3205000.0,3205000.0,1
ALSTONVALE,1110000.0,1482000.0,1710000.0,2800000.0,4850000.0,9
ALSTONVILLE,100000.0,700000.0,850000.0,1017500.0,2100000.0,111
ALUMY CREEK,660000.0,669500.0,679000.0,1019500.0,1360000.0,3
AMBARVALE,7000.0,720000.0,762500.0,808000.0,1095000.0,98
AMOSFIELD,321000.0,321000.0,321000.0,321000.0,321000.0,1
ANAMBAH,820000.0,1410000.0,2000000.0,2325000.0,2650000.0,3
ANDO,301000.0,301000.0,301000.0,301000.0,301000.0,1
ANEMBO,800000.0,800000.0,800000.0,825000.0,850000.0,3
ANGLEDALE,1270000.0,1270000.0,1270000.0,1270000.0,1270000.0,1
ANGLEDOOL,9950.0,10962.5,11975.0,12987.5,14000.0,2
ANGLERS REACH,240000.0,345000.0,450000.0,525000.0,600000.0,3
ANGOURIE,850000.0,2012500.0,2700000.0,3325000.0,4300000.0,4
ANGUS,90000.0,98000.0,760000.0,1400000.0,2150000.0,5
ANNA BAY,250000.0,790000.0,947000.0,1193750.0,2924000.0,70
ANNANDALE,310000.0,1441750.0,1903750.0,2541250.0,6610000.0,176
ANNANGROVE,783000.0,2775000.0,3560000.0,4205000.0,6000000.0,15
APPIN,9500.0,860000.0,1040000.0,1200000.0,3080000.0,45
APPLE TREE FLAT,660000.0,660000.0,660000.0,660000.0,660000.0,1
APSLEY,690000.0,690000.0,690000.0,690000.0,690000.0,2
