suburb,0p,25p,50p,75p,100p,count
ABBOTSBURY,375000.0,945000.0,1075000.0,1250000.0,1750000.0,21
ABBOTSFORD,50000.0,1006250.0,1265000.0,1930000.0,4100000.0,83
ABERCROMBIE,200000.0,410000.0,487500.0,508750.0,590000.0,24
ABERDARE,165000.0,275000.0,335000.0,397500.0,1020000.0,71
ABERDEEN,77000.0,230000.0,268500.0,346750.0,495000.0,38
ABERGLASSLYN,23500.0,430000.0,469900.0,552000.0,1065000.0,185
ABERMAIN,177500.0,290000.0,365000.0,471000.0,670000.0,35
ABERNETHY,320000.0,355000.0,387000.0,435000.0,460000.0,7
ABINGTON,890000.0,890000.0,890000.0,890000.0,890000.0,1
ACACIA GARDENS,35000.0,727125.0,815000.0,904125.0,1180000.0,48
ADAMINABY,60000.0,121875.0,187500.0,408125.0,800000.0,8
ADAMSTOWN,105833.0,535907.5,620340.0,730000.0,1650000.0,156
ADAMSTOWN HEIGHTS,155000.0,645000.0,725000.0,802912.5,1767000.0,106
ADELONG,35000.0,165000.0,200000.0,260000.0,395000.0,25
AFTERLEE,517000.0,517000.0,517000.0,517000.0,517000.0,1
AGNES BANKS,455000.0,707000.0,720000.0,870000.0,1700000.0,9
AIRDS,158333.0,467750.0,640500.0,685000.0,827000.0,36
AKOLELE,465000.0,468750.0,505000.0,700000.0,1180000.0,4
ALBERT,60000.0,60000.0,60000.0,60000.0,60000.0,1
ALBION PARK,280000.0,549000.0,610000.0,691500.0,1951000.0,243
ALBION PARK RAIL,60000.0,489250.0,542950.0,595000.0,1050000.0,166
ALBURY,170000.0,350000.0,492500.0,650000.0,5450000.0,142
ALDAVILLA,150000.0,409500.0,435000.0,477000.0,585000.0,11
ALECTOWN,25000.0,137500.0,365000.0,1113337.5,1579500.0,6
ALEXANDRIA,5000.0,720100.0,860000.0,1365000.0,2550000.0,275
ALFORDS POINT,580000.0,1122500.0,1220000.0,1400000.0,1620000.0,36
ALFREDTOWN,159000.0,315454.5,471909.0,628363.5,784818.0,2
ALISON,620000.0,755000.0,890000.0,1120000.0,1350000.0,3
ALLAMBIE HEIGHTS,600000.0,1400000.0,1600000.0,1888500.0,3030000.0,69
ALLANDALE,850000.0,850000.0,850000.0,850000.0,850000.0,1
ALLAWAH,300000.0,640000.0,695000.0,776875.0,1710000.0,64
ALLGOMERA,350000.0,375000.0,400000.0,425000.0,450000.0,2
ALLWORTH,35000.0,282500.0,387500.0,428750.0,485000.0,4
ALLYNBROOK,380000.0,380000.0,380000.0,380000.0,380000.0,1
ALSTONVALE,633333.0,877500.0,925000.0,950250.0,2200000.0,8
ALSTONVILLE,220000.0,390000.0,545000.0,660000.0,2200000.0,145
ALUMY CREEK,440000.0,440000.0,440000.0,440000.0,440000.0,1
AMBARVALE,5500.0,490000.0,550000.0,615000.0,757000.0,101
ANAMBAH,2300000.0,2300000.0,2300000.0,2300000.0,2300000.0,1
ANGLEDALE,440000.0,511250.0,545000.0,577500.0,645000.0,4
ANGLERS REACH,66000.0,148000.0,230000.0,285000.0,340000.0,3
ANGOURIE,440000.0,720000.0,1000000.0,1150000.0,1300000.0,3
ANNA BAY,60000.0,409000.0,545000.0,632500.0,1350000.0,76
ANNANDALE,279000.0,821250.0,1447500.0,1875000.0,4275000.0,162
ANNANGROVE,41000.0,1950000.0,2175000.0,3025000.0,5200000.0,17
APPIN,496000.0,726750.0,792500.0,854000.0,1340000.0,47
APPLE TREE FLAT,425000.0,425000.0,425000.0,425000.0,425000.0,1
APPLEBY,810000.0,810000.0,810000.0,810000.0,810000.0,1
ARAKOON,7200.0,580750.0,639000.0,785000.0,860000.0,6
ARALUEN,60000.0,60000.0,152000.0,365000.0,715000.0,9
ARCADIA,650000.0,1740000.0,1950000.0,2925000.0,3800000.0,9
ARCADIA VALE,220000.0,430000.0,520000.0,640000.0,1100000.0,33
ARDING,350000.0,482500.0,597500.0,720000.0,756000.0,6
ARDLETHAN,55000.0,72500.0,105000.0,138750.0,230000.0,7
ARGENTON,180000.0,373500.0,420000.0,452500.0,540000.0,30
ARGENTS HILL,5000.0,320000.0,400000.0,610000.0,1200000.0,7
ARIAH PARK,38000.0,70000.0,100000.0,199000.0,250000.0,9
ARMATREE,50000.0,50000.0,50000.0,50000.0,50000.0,2
