postcode,0p,25p,50p,75p,100p,count
2000,28800.0,660000.0,925000.0,1375000.0,18000000.0,1035
2007,7200.0,545000.0,701000.0,880000.0,2300000.0,277
2008,75000.0,578750.0,765000.0,1181250.0,10000000.0,284
2009,27000.0,690000.0,950000.0,1579000.0,6680000.0,331
2010,11500.0,639250.0,880000.0,1339375.0,10500000.0,1166
2011,4000.0,519500.0,792000.0,1320000.0,12750000.0,851
2015,162000.0,600000.0,753000.0,970000.0,2350000.0,375
2016,9500.0,635000.0,825000.0,1177500.0,4000000.0,343
2017,7800.0,610000.0,745750.0,925750.0,3560000.0,1626
2018,18400.0,555000.0,670000.0,750000.0,2320000.0,805
2019,333000.0,593600.0,635000.0,785000.0,3200000.0,643
2020,36460.0,681250.0,780000.0,975441.25,3900000.0,378
2021,165000.0,966250.0,1537500.0,2100000.0,12000000.0,474
2022,50000.0,858750.0,1300000.0,1788500.0,9563700.0,356
2023,63000.0,910000.0,1700000.0,3422500.0,12510000.0,327
2024,100000.0,932525.0,1657500.0,2566250.0,15650000.0,272
2025,1175.0,1070000.0,1825000.0,2651000.0,13100000.0,277
2026,8500.0,798750.0,1116000.0,1800000.0,10340000.0,828
2027,305000.0,1051000.0,1750000.0,3625000.0,39900000.0,281
2028,30500.0,989750.0,1625000.0,2850000.0,38000000.0,216
2029,45000.0,846000.0,1401500.0,2537500.0,27080000.0,274
2030,30000.0,1050000.0,2240000.0,3950000.0,20108000.0,421
2031,70000.0,677375.0,865000.0,1725000.0,12610000.0,914
2032,11400.0,735000.0,1080000.0,1800000.0,6030000.0,213
2033,275000.0,665000.0,850000.0,1640000.0,8500000.0,193
2034,95000.0,785000.0,1010000.0,1700000.0,9000000.0,453
2035,30000.0,697500.0,915100.0,1550000.0,10500000.0,631
2036,57000.0,623500.0,956250.0,1460000.0,5700000.0,446
2037,10800.0,689000.0,1032500.0,1501000.0,7328768.0,395
2038,250000.0,865000.0,1220000.0,1550000.0,3295000.0,240
2039,345000.0,800000.0,1080000.0,1390000.0,4500000.0,429
2040,270000.0,898000.0,1180000.0,1410000.0,6300000.0,495
2041,5850.0,1100000.0,1500000.0,2141250.0,6560000.0,390
2042,17000.0,701800.0,1050000.0,1317500.0,3255000.0,367
2043,360000.0,622375.0,740000.0,875000.0,2050000.0,570
2044,102500.0,715000.0,920000.0,1100000.0,2750000.0,225
2045,330000.0,1200000.0,1800000.0,2250000.0,4230000.0,109
2046,60000.0,760000.0,1052500.0,1620000.0,5215000.0,626
2047,365000.0,791250.0,990000.0,1597500.0,3900000.0,318
2048,107000.0,740000.0,1200000.0,1435000.0,3650000.0,167
2049,11000.0,600000.0,835000.0,1300000.0,11300000.0,285
2050,300000.0,681250.0,840000.0,1180000.0,4275000.0,254
2060,222000.0,628125.0,852500.0,1352500.0,9850000.0,544
2061,145200.0,700000.0,1100000.0,1650000.0,12306000.0,305
2062,131250.0,800000.0,1150000.0,1700000.0,6740000.0,181
2063,250000.0,1540000.0,2068000.0,2700000.0,9000000.0,143
2064,10700.0,722500.0,825009.0,1404250.0,3300000.0,191
2065,20000.0,690000.0,920000.0,1457500.0,13450000.0,979
2066,8500.0,625000.0,765000.0,1482349.0,10375000.0,1227
2067,29214.0,599900.0,812500.0,965000.0,6055000.0,5817
2068,180000.0,1346250.0,1822500.0,2363750.0,7500000.0,366
2069,200000.0,1300000.0,1870000.0,2500000.0,6750000.0,273
2070,268000.0,766250.0,1387500.0,2159500.0,6355000.0,382
2071,22000.0,930000.0,1668000.0,2258000.0,12500000.0,333
2072,455000.0,879750.0,1438000.0,2343250.0,6396000.0,194
2073,11750.0,855000.0,1521000.0,2100000.0,33000000.0,431
2074,31000.0,1000750.0,1395000.0,1925000.0,9440000.0,524
2075,100000.0,785000.0,1425000.0,1800000.0,6182754.0,649
2076,52000.0,797000.0,1200000.0,1593750.0,4700000.0,570
2077,3900.0,610000.0,725500.0,1010000.0,4500000.0,942
2079,10000.0,830000.0,900000.0,1000000.0,1770000.0,125
2080,425000.0,811750.0,900000.0,982500.0,1350000.0,24
2081,28000.0,795000.0,875000.0,971861.5,1350000.0,79
2082,179818.0,780000.0,880000.0,1027500.0,1455000.0,89
2083,3500.0,430000.0,580000.0,785000.0,1860000.0,57
2084,12500.0,1260000.0,1450000.0,2830000.0,6500000.0,49
2085,10000.0,730000.0,1230000.0,1398750.0,2230000.0,198
2086,262500.0,1154750.0,1320000.0,1477266.0,3700000.0,204
2087,325000.0,1150000.0,1332500.0,1585000.0,4138215.0,188
2088,1000.0,750000.0,1390000.0,2825000.0,21000000.0,1025
2089,130200.0,670000.0,922000.0,1450000.0,6200000.0,355
2090,6500.0,760000.0,1000000.0,1625000.0,8400000.0,419
2092,621000.0,1403250.0,1897500.0,2600000.0,10000000.0,134
2093,21000.0,759000.0,1300000.0,1895000.0,17000000.0,565
2094,367500.0,818750.0,1262500.0,1742500.0,5500000.0,164
2095,35000.0,800000.0,1180000.0,1872500.0,10000000.0,494
2096,1000.0,665000.0,860000.0,1584062.5,4600000.0,374
2097,20000.0,685000.0,1057000.0,1450000.0,3800000.0,309
2099,100.0,602000.0,787250.0,1220000.0,16660000.0,894
2100,7000.0,589000.0,1005000.0,1326000.0,4920000.0,441
2101,11500.0,761250.0,1067500.0,1400000.0,8390000.0,430
2102,11500.0,731250.0,800000.0,1057500.0,4650000.0,290
2103,55000.0,735000.0,1100000.0,1425000.0,5050000.0,289
2104,45000.0,1390250.0,1813000.0,2440000.0,10980000.0,82
2105,400000.0,732500.0,1232500.0,1800000.0,3675000.0,54
2106,114000.0,795000.0,1260000.0,1675000.0,6250000.0,249
2107,35000.0,1059375.0,1293000.0,1660000.0,6900000.0,440
2108,407000.0,1113750.0,1660000.0,3012500.0,7200000.0,70
2110,285000.0,1190000.0,1940000.0,3000000.0,12850000.0,233
2111,23200.0,600000.0,797500.0,1550875.0,5350000.0,424
2112,11500.0,613000.0,735000.0,1068000.0,10700000.0,1397
2113,12400.0,572250.0,677500.0,1248125.0,2580000.0,636
2114,190000.0,575000.0,660000.0,905000.0,5300000.0,911
2115,15000.0,790000.0,942500.0,1148250.0,1960000.0,250
2116,420000.0,668000.0,810000.0,1060000.0,2000000.0,153
2117,80000.0,550000.0,781000.0,1021500.0,2300000.0,599
2118,140400.0,575000.0,742500.0,1177250.0,6313727.0,746
2119,157500.0,1175000.0,1427500.0,1756250.0,4822000.0,228
2120,190000.0,852000.0,1055000.0,1280000.0,4359625.0,393
2121,10150.0,792997.5,980500.0,1660000.0,5785000.0,744
2122,145732.0,700000.0,1000000.0,1500000.0,5100000.0,533
2125,100000.0,1125000.0,1351000.0,1679125.0,7800000.0,258
2126,500000.0,1047500.0,1245444.0,1450000.0,2200000.0,272
2127,9000.0,560000.0,650000.0,728000.0,2442000.0,1337
2128,100000.0,435000.0,485000.0,605000.0,23000000.0,193
2130,6100.0,663750.0,820000.0,1470000.0,6250000.0,136
2131,53000.0,605000.0,710000.0,990000.0,9120000.0,461
2132,310000.0,750250.0,1246000.0,1534000.0,2338333.0,142
2133,120000.0,570000.0,823500.0,1150000.0,2190000.0,218
2134,15000.0,694750.0,855000.0,1388750.0,7200000.0,288
2135,6500.0,700000.0,1016000.0,2085000.0,5980000.0,454
